Entity,Code,Year,"Average effective age of retirement, men (OECD)"
Argentina,ARG,1982,66.6
Argentina,ARG,1983,66.4
Argentina,ARG,1984,66.2
Argentina,ARG,1985,65.8
Argentina,ARG,1986,66.6
Argentina,ARG,1987,67.3
Argentina,ARG,1988,67.7
Argentina,ARG,1989,67.5
Argentina,ARG,1990,67.3
Argentina,ARG,1991,68.3
Argentina,ARG,1992,69.6
Argentina,ARG,1993,68.4
Argentina,ARG,1994,67.1
Argentina,ARG,1995,67.3
Argentina,ARG,1996,68.1
Argentina,ARG,1997,68.7
Argentina,ARG,1998,69.2
Argentina,ARG,1999,69.6
Argentina,ARG,2000,70.1
Argentina,ARG,2001,70.1
Argentina,ARG,2002,70.2
Argentina,ARG,2003,70.3
Argentina,ARG,2004,69.4
Argentina,ARG,2005,68.6
Argentina,ARG,2006,69
Argentina,ARG,2007,68.8
Argentina,ARG,2008,69.6
Argentina,ARG,2009,67.9
Argentina,ARG,2010,68.2
Argentina,ARG,2011,68.7
Argentina,ARG,2012,68.7
Argentina,ARG,2013,67.5
Argentina,ARG,2014,67.1
Argentina,ARG,2015,67.1
Argentina,ARG,2016,67.3
Argentina,ARG,2017,66.5
Argentina,ARG,2018,66.6
Australia,AUS,1970,67.4
Australia,AUS,1971,67.1
Australia,AUS,1972,67.2
Australia,AUS,1973,66.1
Australia,AUS,1974,66.1
Australia,AUS,1975,65.7
Australia,AUS,1976,65.5
Australia,AUS,1977,65.6
Australia,AUS,1978,65.2
Australia,AUS,1979,64.5
Australia,AUS,1980,64.1
Australia,AUS,1981,63.6
Australia,AUS,1982,63.3
Australia,AUS,1983,63.4
Australia,AUS,1984,62.9
Australia,AUS,1985,62.5
Australia,AUS,1986,62.8
Australia,AUS,1987,62.3
Australia,AUS,1988,61.6
Australia,AUS,1989,62.1
Australia,AUS,1990,62.5
Australia,AUS,1991,62.3
Australia,AUS,1992,62.4
Australia,AUS,1993,62.8
Australia,AUS,1994,62.6
Australia,AUS,1995,62.3
Australia,AUS,1996,62.1
Australia,AUS,1997,61.9
Australia,AUS,1998,61.5
Australia,AUS,1999,62.2
Australia,AUS,2000,62
Australia,AUS,2001,62.1
Australia,AUS,2002,63
Australia,AUS,2003,63.1
Australia,AUS,2004,62.8
Australia,AUS,2005,63.7
Australia,AUS,2006,63.9
Australia,AUS,2007,64
Australia,AUS,2008,63.7
Australia,AUS,2009,64.4
Australia,AUS,2010,64.5
Australia,AUS,2011,64.9
Australia,AUS,2012,64.8
Australia,AUS,2013,65.4
Australia,AUS,2014,65
Australia,AUS,2015,65.4
Australia,AUS,2016,65.2
Australia,AUS,2017,65.6
Australia,AUS,2018,65.3
Austria,AUT,1970,66.8
Austria,AUT,1971,66.5
Austria,AUT,1972,65.8
Austria,AUT,1973,65.9
Austria,AUT,1974,66
Austria,AUT,1975,66.4
Austria,AUT,1976,66.3
Austria,AUT,1977,65.9
Austria,AUT,1978,65.4
Austria,AUT,1979,65.2
Austria,AUT,1980,64.8
Austria,AUT,1981,63.8
Austria,AUT,1982,63.4
Austria,AUT,1983,63.3
Austria,AUT,1984,63.2
Austria,AUT,1985,62.5
Austria,AUT,1986,62.2
Austria,AUT,1987,62.4
Austria,AUT,1988,62.5
Austria,AUT,1989,62.6
Austria,AUT,1990,62.7
Austria,AUT,1991,62.5
Austria,AUT,1992,62.1
Austria,AUT,1993,61.9
Austria,AUT,1994,61.6
Austria,AUT,1995,60.9
Austria,AUT,1996,60.8
Austria,AUT,1997,60.8
Austria,AUT,1998,61
Austria,AUT,1999,61
Austria,AUT,2000,60.3
Austria,AUT,2001,59.5
Austria,AUT,2002,59.9
Austria,AUT,2003,60.2
Austria,AUT,2004,58.8
Austria,AUT,2005,58.6
Austria,AUT,2006,59.1
Austria,AUT,2007,58.4
Austria,AUT,2008,57.9
Austria,AUT,2009,58.7
Austria,AUT,2010,59.7
Austria,AUT,2011,60.1
Austria,AUT,2012,61.7
Austria,AUT,2013,61.9
Austria,AUT,2014,62.2
Austria,AUT,2015,61.8
Austria,AUT,2016,62
Austria,AUT,2017,63
Austria,AUT,2018,63.5
Belgium,BEL,1970,64.1
Belgium,BEL,1971,64.2
Belgium,BEL,1972,64.2
Belgium,BEL,1973,64.2
Belgium,BEL,1974,64.2
Belgium,BEL,1975,64.2
Belgium,BEL,1976,63.6
Belgium,BEL,1977,63.2
Belgium,BEL,1978,62.5
Belgium,BEL,1979,62
Belgium,BEL,1980,61.5
Belgium,BEL,1981,61.1
Belgium,BEL,1982,61
Belgium,BEL,1983,61
Belgium,BEL,1984,60.7
Belgium,BEL,1985,60.6
Belgium,BEL,1986,60.1
Belgium,BEL,1987,59.4
Belgium,BEL,1988,58.8
Belgium,BEL,1989,58.7
Belgium,BEL,1990,58.5
Belgium,BEL,1991,58.8
Belgium,BEL,1992,58
Belgium,BEL,1993,57.9
Belgium,BEL,1994,58
Belgium,BEL,1995,58.3
Belgium,BEL,1996,57.9
