iso3,country,region,sex,pca_min,paw_min,upw_min,lei_min,oth_min,total_min,pca_h,paw_h,upw_h,lei_h,oth_h
AUS,Australia,Oceania,F,666.0,172.0,311.0,269.0,22.0,1440.0,11.1,2.87,5.18,4.48,0.37
AUS,Australia,Oceania,M,649.254355400697,304.05574912892,171.595818815331,297.031358885017,18.0627177700348,1440.0,10.82,5.07,2.86,4.95,0.3
AUT,Austria,Europe,F,678.03942,219.07872,237.79821,291.65012,13.43353,1440.0,11.3,3.65,3.96,4.86,0.22
AUT,Austria,Europe,M,657.36157,311.85469,138.51473,321.9786,10.29041,1440.0,10.96,5.2,2.31,5.37,0.17
BEL,Belgium,Europe,F,677.39721737857,199.232497362733,237.322972016499,316.706652420455,9.03426738223147,1440.0,11.29,3.32,3.96,5.28,0.15
BEL,Belgium,Europe,M,648.457437883643,273.704081881019,144.172378478972,365.173129943823,8.49297181254282,1440.0,10.81,4.56,2.4,6.09,0.14
BGR,Bulgaria,Europe,F,711.404542538075,256.20358286702,256.891407558214,210.477968895029,5.02258751815816,1440.0,11.86,4.27,4.28,3.51,0.08
BGR,Bulgaria,Europe,M,732.605420899345,305.877348101931,125.757672875661,271.274916466791,4.48473063780057,1440.0,12.21,5.1,2.1,4.52,0.07
CAN,Canada,Americas,F,663.740665984154,302.842900800705,247.182051444054,196.907735896111,29.3266840696335,1440.0,11.06,5.05,4.12,3.28,0.49
CAN,Canada,Americas,M,647.910270988941,370.918160676956,163.9218968153,225.542171895504,31.7075201869011,1440.0,10.8,6.18,2.73,3.76,0.53
CHN,China,Asia,F,692.0,291.0,234.0,211.0,12.0,1440.0,11.53,4.85,3.9,3.52,0.2
CHN,China,Asia,M,696.0,390.0,91.0,248.0,15.0,1440.0,11.6,6.5,1.52,4.13,0.25
HRV,Croatia,Europe,F,648.336516022682,298.104226112366,257.727575540543,225.084761023521,10.7470189332962,1440.0,10.81,4.97,4.3,3.75,0.18
HRV,Croatia,Europe,M,661.179109311104,344.435708427429,148.972486567497,275.609206831455,9.80348113775253,1440.0,11.02,5.74,2.48,4.59,0.16
DNK,Denmark,Europe,F,673.378544051551,194.585985644973,242.808720907722,319.612544451975,9.61420494377903,1440.0,11.22,3.24,4.05,5.33,0.16
DNK,Denmark,Europe,M,643.039503916384,260.067750920119,186.136081859719,339.542605681607,11.2140576221717,1440.0,10.72,4.33,3.1,5.66,0.19
EST,Estonia,Europe,F,656.283679845747,277.977763660019,209.36915508837,277.308677528336,19.0606822878249,1440.0,10.94,4.63,3.49,4.62,0.32
EST,Estonia,Europe,M,650.692295842542,307.838805529711,139.187715531909,324.78124626106,17.5000376944963,1440.0,10.84,5.13,2.32,5.41,0.29
FIN,Finland,Europe,F,663.376294260677,222.131707192206,208.748649916855,308.540555071002,37.2027739363302,1440.0,11.06,3.7,3.48,5.14,0.62
FIN,Finland,Europe,M,628.108680047168,257.162925567918,161.987690264496,350.287681461297,42.4529036311851,1440.0,10.47,4.29,2.7,5.84,0.71
FRA,France,Europe,F,760.888066736224,175.362989080796,224.030847649372,269.743379658742,9.97471687486579,1440.0,12.68,2.92,3.73,4.5,0.17
FRA,France,Europe,M,742.955399211535,235.132065209748,134.939453321805,319.130806843015,7.84227541389787,1440.0,12.38,3.92,2.25,5.32,0.13
DEU,Germany,Europe,F,667.244830408694,209.881920764596,232.621356855328,324.460858939834,5.79113597393979,1440.0,11.12,3.5,3.88,5.41,0.1
DEU,Germany,Europe,M,649.180886150432,276.811841355819,151.641156779146,358.043239341812,4.32273861989034,1440.0,10.82,4.61,2.53,5.97,0.07
GRC,Greece,Europe,F,680.0,183.0,260.0,310.0,7.0,1440.0,11.33,3.05,4.33,5.17,0.12
GRC,Greece,Europe,M,689.0,276.0,97.0,375.0,3.0,1440.0,11.48,4.6,1.62,6.25,0.05
HUN,Hungary,Europe,F,679.271815164226,202.506254714154,293.767324683589,256.841156877389,7.6134485606417,1440.0,11.32,3.38,4.9,4.28,0.13
HUN,Hungary,Europe,M,686.293115347827,272.657111299686,162.341045980129,308.157116482696,10.5516108896624,1440.0,11.44,4.54,2.71,5.14,0.18
IND,India,Asia,F,669.860366882752,184.703675240469,351.935306392856,220.948493663259,12.5521578206643,1440.0,11.16,3.08,5.87,3.68,0.21
IND,India,Asia,M,702.771927389694,390.571087302003,51.767242334305,282.643293517576,12.2464494564219,1440.0,11.71,6.51,0.86,4.71,0.2
IRL,Ireland,Europe,F,623.13239,194.9327,292.508303,286.98392,42.442702,1440.0,10.39,3.25,4.88,4.78,0.71
IRL,Ireland,Europe,M,594.72988,340.81053,126.978151,337.57702,39.90444,1440.0,9.91,5.68,2.12,5.63,0.67
ITA,Italy,Europe,F,705.327315056609,133.119712889189,306.335941182031,280.922253677419,14.2947771947521,1440.0,11.76,2.22,5.11,4.68,0.24
ITA,Italy,Europe,M,710.318418441344,220.813966761535,130.70904349082,366.095753217538,12.0628180887634,1440.0,11.84,3.68,2.18,6.1,0.2
JPN,Japan,Asia,F,647.0,292.0,208.0,254.0,40.0,1441.0,10.78,4.87,3.47,4.23,0.67
JPN,Japan,Asia,M,632.0,442.0,47.0,284.0,34.0,1439.0,10.53,7.37,0.78,4.73,0.57
LVA,Latvia,Europe,F,643.693565341687,288.468308883741,253.2541126242,249.248179830482,5.33583331988962,1440.0,10.73,4.81,4.22,4.15,0.09
LVA,Latvia,Europe,M,639.602900542765,376.93106909732,129.726897150602,290.47875347107,3.26037973824294,1440.0,10.66,6.28,2.16,4.84,0.05
LTU,Lithuania,Europe,F,644.797666656861,279.257393882923,291.951659066224,215.298857870942,8.69442252305132,1440.0,10.75,4.65,4.87,3.59,0.14
LTU,Lithuania,Europe,M,644.323489643715,354.262732052054,151.6108055203,282.19783185362,7.60514093031033,1440.0,10.74,5.9,2.53,4.7,0.13
LUX,Luxembourg,Europe,F,694.01245297704,238.866389933843,239.61742768193,253.023219613439,14.5123881177844,1440.0,11.57,3.98,3.99,4.22,0.24
LUX,Luxembourg,Europe,M,676.86338955921,329.995018587546,121.075181416472,299.041394735763,13.0250157010083,1440.0,11.28,5.5,2.02,4.98,0.22
MEX,Mexico,Americas,F,610.939616504585,259.746560151323,348.516655805618,194.315373181954,26.4817943565208,1440.0,10.18,4.33,5.81,3.24,0.44
MEX,Mexico,Americas,M,600.343650806537,453.664762609463,147.359370199201,212.843550247363,25.7886661374353,1440.0,10.01,7.56,2.46,3.55,0.43
NLD,Netherlands,Europe,F,696.658049666797,201.432569452333,224.946109997294,300.223045750429,16.739884275353,1440.0,11.61,3.36,3.75,5.0,0.28
NLD,Netherlands,Europe,M,666.232539984768,284.93920573115,145.417069878142,329.58532083016,13.8255825399848,1440.0,11.1,4.75,2.42,5.49,0.23
NZL,New Zealand,Oceania,F,656.0,205.0,264.0,295.0,19.0,1439.0,10.93,3.42,4.4,4.92,0.32
NZL,New Zealand,Oceania,M,639.0,338.0,141.0,306.0,16.0,1440.0,10.65,5.63,2.35,5.1,0.27
NOR,Norway,Europe,F,631.99754814757,247.042684622866,212.059552540682,339.789029859283,9.11116211505578,1440.0,10.53,4.12,3.53,5.66,0.15
NOR,Norway,Europe,M,595.856163283617,302.752780732919,159.932403385848,367.087541143803,14.371084872508,1440.0,9.93,5.05,2.67,6.12,0.24
POL,Poland,Europe,F,693.037475585938,171.761444091797,292.593627929688,245.658813476563,36.9486846923828,1440.0,11.55,2.86,4.88,4.09,0.62
POL,Poland,Europe,M,665.15234375,272.243774414063,189.473693847656,281.218841552734,31.9113578796387,1440.0,11.09,4.54,3.16,4.69,0.53
PRT,Portugal,Europe,F,673.743016759777,231.284916201117,328.156424581006,199.776536312849,7.0391061452514,1440.0,11.23,3.85,5.47,3.33,0.12
PRT,Portugal,Europe,M,677.232704402516,372.327044025157,96.2683438155136,289.140461215933,5.0314465408805,1440.0,11.29,6.21,1.6,4.82,0.08
SVN,Slovenia,Europe,F,630.437804030577,234.162612925643,286.198749131341,283.196664350243,6.00416956219597,1440.0,10.51,3.9,4.77,4.72,0.1
SVN,Slovenia,Europe,M,631.754874651811,299.83286908078,166.462395543175,336.935933147632,5.01392757660167,1440.0,10.53,5.0,2.77,5.62,0.08
ZAF,South Africa,Africa,F,694.82946,195.03345,249.5884149,281.849864,18.6988008,1440.0,11.58,3.25,4.16,4.7,0.31
ZAF,South Africa,Africa,M,695.37227,294.16317,102.9391411,334.19432,13.1774,1440.0,11.59,4.9,1.72,5.57,0.22
KOR,South Korea,Asia,F,679.876804693769,269.386471761285,215.008936662608,243.971318543532,31.7564683388117,1440.0,11.33,4.49,3.58,4.07,0.53
KOR,South Korea,Asia,M,675.832424585911,418.986089864867,48.9944848608272,272.447789400641,23.7392112877499,1440.0,11.26,6.98,0.82,4.54,0.4
ESP,Spain,Europe,F,686.55228,166.7536196,289.1279055,283.995586,13.180323,1440.0,11.44,2.78,4.82,4.73,0.22
ESP,Spain,Europe,M,696.87999,236.2291275,145.9093127,347.169256,13.661777,1440.0,11.61,3.94,2.43,5.79,0.23
SWE,Sweden,Europe,F,633.439888811675,275.191104933982,220.152883947186,306.212647671994,5.00347463516331,1440.0,10.56,4.59,3.67,5.1,0.08
SWE,Sweden,Europe,M,611.0,313.0,171.0,338.0,7.0,1440.0,10.18,5.22,2.85,5.63,0.12
TUR,Turkey,Asia,F,684.50614,133.9472367,305.047395,270.447376,46.099935,1440.0,11.41,2.23,5.08,4.51,0.77
TUR,Turkey,Asia,M,679.09766,358.2501105,67.5917389,300.954951,34.11682,1440.0,11.32,5.97,1.13,5.02,0.57
GBR,United Kingdom,Europe,F,655.427152072559,216.204761385404,248.632290190633,284.67795888641,35.0578374649938,1440.0,10.92,3.6,4.14,4.74,0.58
GBR,United Kingdom,Europe,M,634.916891715024,308.615975174126,140.081795190296,326.515733433541,29.8696044870127,1440.0,10.58,5.14,2.33,5.44,0.5
USA,United States,Americas,F,675.649658203125,251.271331787109,234.696731567383,255.095794677734,23.2864551544189,1440.0,11.26,4.19,3.91,4.25,0.39
USA,United States,Americas,M,652.301330566406,305.464019775391,159.102722167969,304.912994384766,18.2189540863037,1440.0,10.87,5.09,2.65,5.08,0.3
