iso3,country,region,lei_min,oth_min,paw_min,pca_min,upw_min,total_min,pca_h,paw_h,upw_h,lei_h,oth_h,gdp_per_capita_ppp,life_satisfaction,life_satisfaction_year,annual_working_hours,annual_working_hours_year,retirement_age_men,retirement_age_men_year
AUS,Australia,Oceania,281.195274496178,20.0138985406532,238.165392633774,657.456567060459,243.168867268937,1440.0,10.96,3.97,4.05,4.69,0.33,71934.4033931263,6.916,2025,1611.13,2023,65.3,2018
AUT,Austria,Europe,306.87112,11.85609,265.64036,667.66179,187.97064,1440.0,11.13,4.43,3.13,5.11,0.2,76777.5421537618,6.845,2025,1438.45,2023,63.5,2018
BEL,Belgium,Europe,339.350143735728,9.22128002575055,235.75362369589,664.046350849856,191.820156132893,1440.0,11.07,3.93,3.2,5.66,0.15,74675.607672673,6.926,2025,1593.29,2023,61.6,2018
BGR,Bulgaria,Europe,240.974993237818,5.07524738190659,281.923912648024,723.052900319744,188.972884305462,1440.0,12.05,4.7,3.15,4.02,0.08,44451.1001576913,5.703,2025,1659.33,2023,64.7,2018
CAN,Canada,Americas,211.271826052666,30.5236915826797,336.957614922523,655.960117149353,205.286788487434,1440.0,10.93,5.62,3.42,3.52,0.51,66745.8248561648,6.741,2025,1731.02,2023,65.5,2018
CHN,China,Asia,227.841776544067,14.9895905621096,339.764052741152,693.51839000694,163.886190145732,1440.0,11.56,5.66,2.73,3.8,0.25,29333.3311051433,6.074,2025,2327.79,2023,66.8,2010
HRV,Croatia,Europe,250.568820726872,10.2766464471817,321.457530925274,654.783580982685,202.91339161396,1440.0,10.91,5.36,3.38,4.18,0.17,50946.1671131832,6.009,2025,1974.04,2023,61.7,2018
DNK,Denmark,Europe,328.844813086877,10.3519569387025,224.816593619938,659.359294963398,216.627341391084,1440.0,10.99,3.75,3.61,5.48,0.17,83218.071525634,7.539,2025,1379.94,2023,65.1,2018
EST,Estonia,Europe,301.154043831466,18.3018223129704,293.061746082749,653.821360150578,173.660976027159,1440.0,10.9,4.88,2.89,5.02,0.31,52105.5093433416,6.41,2025,1605.74,2023,65.5,2018
FIN,Finland,Europe,329.806604610792,39.8454146003223,240.107553814392,644.694376416737,185.546038763971,1440.0,10.74,4.0,3.09,5.5,0.66,65884.4876972259,7.764,2025,1496.85,2023,64.3,2018
FRA,France,Europe,293.542647204861,8.94711452440032,204.165144466346,752.246544090006,181.098549714387,1440.0,12.54,3.4,3.02,4.89,0.15,63975.353585864,6.586,2025,1487.1,2023,60.8,2018
DEU,Germany,Europe,340.882835020573,5.11310158690526,244.047244752997,657.602393315668,192.354335749111,1440.0,10.96,4.07,3.21,5.68,0.09,75406.6888111618,6.882,2025,1335.27,2023,64.0,2018
GRC,Greece,Europe,335.0,6.0,230.0,685.0,184.0,1440.0,11.42,3.83,3.07,5.58,0.1,45263.6498511586,5.697,2025,1893.06,2023,61.7,2018
HUN,Hungary,Europe,281.349701323258,8.73818704873854,237.614003431622,683.139152210002,229.15895598638,1440.0,11.39,3.96,3.82,4.69,0.15,49837.6008411067,5.937,2025,1668.16,2023,63.4,2018
IND,India,Asia,253.996122734101,12.3884028738259,294.979415506001,687.489914767049,191.146144119023,1440.0,11.46,4.92,3.19,4.23,0.21,11747.9160436011,4.536,2025,2382.58,2023,69.8,2018
IRL,Ireland,Europe,312.31158,41.172009,267.96129,608.91367,209.641482,1440.0,10.15,4.47,3.49,5.21,0.69,155089.413131749,6.928,2025,1654.04,2023,65.6,2018
ITA,Italy,Europe,323.258616938897,13.1853614591596,176.70905816186,707.808218002521,219.038745437563,1440.0,11.8,2.95,3.65,5.39,0.22,62802.5108384276,6.574,2025,1701.42,2023,63.3,2018
JPN,Japan,Asia,269.0,37.0,368.0,640.0,125.0,1439.0,10.67,6.13,2.08,4.48,0.62,55421.8797530311,6.13,2025,1653.9,2023,70.8,2018
LVA,Latvia,Europe,268.841314115382,3.84950740685502,329.938426874667,641.296207711742,196.074543891354,1440.0,10.69,5.5,3.27,4.48,0.06,46136.689377286,6.365,2025,1625.24,2023,65.7,2018
LTU,Lithuania,Europe,246.606803007443,8.1680722499444,315.215150160901,645.538649513615,224.471325068096,1440.0,10.76,5.25,3.74,4.11,0.14,56837.8067003598,6.704,2025,1640.35,2023,64.3,2018
LUX,Luxembourg,Europe,276.385699779144,14.0634171949444,284.688134496738,685.668230952173,179.155603986542,1440.0,11.43,4.74,2.99,4.61,0.23,156542.075847247,7.063,2025,1452.08,2023,60.5,2018
MEX,Mexico,Americas,202.833908621677,26.1631209501891,348.902610107847,606.068003447442,256.032356872846,1440.0,10.1,5.82,4.27,3.38,0.44,25868.4787520629,6.972,2025,1628.87,2023,71.3,2018
NLD,Netherlands,Europe,314.763994846005,15.2966546858883,242.787032776412,681.590620014206,185.561382441438,1440.0,11.36,4.05,3.09,5.25,0.25,87320.1477254029,7.223,2025,1438.74,2023,65.2,2018
NZL,New Zealand,Oceania,301.0,17.0,270.0,648.0,204.0,1440.0,10.8,4.5,3.4,5.02,0.28,57350.3627657521,6.995,2025,1707.52,2023,69.8,2018
NOR,Norway,Europe,353.967756063685,11.7128221366738,275.404025061653,613.333785205978,185.581687487247,1440.0,10.22,4.59,3.09,5.9,0.2,104043.666429243,7.242,2025,1412.06,2023,66.1,2018
POL,Poland,Europe,261.0,35.0,214.0,682.0,248.0,1440.0,11.37,3.57,4.13,4.35,0.58,54262.4040405236,6.768,2025,1806.92,2023,62.8,2018
PRT,Portugal,Europe,240.671328671329,6.04195804195804,295.048951048951,675.692307692308,222.545454545455,1440.0,11.26,4.92,3.71,4.01,0.1,53145.7317498942,6.029,2025,1734.94,2023,68.5,2018
SVN,Slovenia,Europe,310.568654646324,5.99167822468793,264.632454923717,628.127600554785,230.679611650485,1440.0,10.47,4.41,3.84,5.18,0.1,59244.7106359661,6.868,2025,1587.57,2023,63.1,2018
ZAF,South Africa,Africa,305.898196,16.1621313,240.57606,695.07884,182.2847917,1440.0,11.58,4.01,3.04,5.1,0.27,15905.6794419658,5.009,2025,2181.43,2023,63.1,2018
KOR,South Korea,Asia,258.260203841049,27.7335798643878,344.452367193367,677.847421075598,131.706428025599,1440.0,11.3,5.74,2.2,4.3,0.46,63124.9152183625,6.04,2025,1910.23,2023,72.3,2018
ESP,Spain,Europe,316.049266,13.424608,202.0047329,691.79239,216.7291055,1440.0,11.53,3.37,3.61,5.27,0.22,59867.6944716701,6.54,2025,1637.99,2023,62.1,2018
SWE,Sweden,Europe,321.484572513213,6.13985651363188,293.406871774976,622.46952542036,196.499173777816,1440.0,10.37,4.89,3.27,5.36,0.1,72528.8892631159,7.255,2025,1431.5,2023,66.4,2018
TUR,Turkey,Asia,285.730729,40.096759,246.3159874,681.79669,186.089492,1440.0,11.36,4.11,3.1,4.76,0.67,45288.4750285273,5.3,2025,1747.46,2023,66.3,2018
GBR,United Kingdom,Europe,305.53093651479,32.4718942159398,262.264909867927,645.20437434277,194.527885058573,1440.0,10.75,4.37,3.24,5.09,0.54,64606.4955066338,6.694,2025,1522.8,2023,64.7,2018
USA,United States,Americas,279.856750488281,20.7677211761475,278.207092285156,664.044677734375,197.123748779297,1440.0,11.07,4.64,3.29,4.66,0.35,90026.5163005744,6.816,2025,1788.88,2023,67.9,2018
